Team,Year,Points/Expense,Goals/Expense
Manchester City,2020,0.496,0.4787
Tottenham,2020,0.5611,0.6154
Liverpool,2020,0.8137,0.8019
Barcelona,2020,0.7057,0.7593
Real Madrid,2020,0,0
Manchester United,2020,0.8815,0.8696
Villarreal,2020,1.5328,1.5856
Manchester City,2021,0.6695,0.7127
Tottenham,2021,0.7404,0.7195
Liverpool,2021,1.0,1.0217
Barcelona,2021,1.0504,0.9784
Real Madrid,2021,2.7742,2.5806
Manchester United,2021,0.4085,0.4014
Villarreal,2021,1.0826,1.156
Manchester City,2022,0.5742,0.6065
Tottenham,2022,0.3335,0.3891
Liverpool,2022,0.4595,0.5144
Barcelona,2022,0.557,0.443
Real Madrid,2022,0.975,0.9375
Manchester United,2022,0.3083,0.2384
Villarreal,2022,9.8765,9.1049
